user_id,order_id,purchase_ts,ship_ts,product_name,product_id,gbp_price,purchase_platform,marketing_channel,account_creation_method,city
23b8c1e9,bdd640fb-0667-4a,2025-11-06,2025-12-06,Accessory,m001,24.99,website,email,desktop,leeds
972a8469,bd9c66b3-ad3c-4d,2025-03-23,2025-03-25,Steam Deck,c912,499.99,website,search,desktop,manchester
9a1de644,17fc695a-07a0-4a,2025-04-24,2025-04-28,Kindle Paperwhite,j877,129.99,website,affiliate,desktop,birmingham
9a1de644,17fc695a-07a0-4a,2025-04-24,2025-04-26,Steam Deck,c912,499.99,website,search,desktop,manchester
6b65a6a4,b74d0fb1-32e7-46,2025-02-06,2025-08-06,Accessory,m001,24.99,mobile_app,direct,mobile,manchester
c241330b,47378190-96da-4d,2025-03-22,2025-03-25,Kindle Paperwhite,j877,129.99,website,direct,unknown,manchester
371ecd7b,6c307511-b2b9-43,2025-10-04,2025-11-03,MacBook Air,g770,1199.99,mobile_app,direct,desktop,manchester
5be6128e,1a2a73ed-562b-4f,2025-02-15,2025-02-16,iPhone 15,f521,899.99,website,social,desktop,glasgow
5be6128e,1a2a73ed-562b-4f,2025-02-15,2025-02-18,iPhone 15,f521,899.99,mobile_app,affiliate,unknown,
5be6128e,1a2a73ed-562b-4f,2025-02-15,2025-02-20,Smartwatch,h301,249.99,website,social,desktop,leicester
759cde66,43b7a3a6-9a8d-4a,2025-07-05,2025-10-05,Google Pixel 8,i920,699.99,mobile_app,search,desktop,manchester
4b0dbb41,ec1b8ca1-f91e-4d,2025-06-14,2025-06-15,PS5,a245,479.99,website,email,desktop,leeds
3139d32c,e2acf72f-9e57-4f,2025-01-20,2025-01-21,Steam Deck,c912,499.99,mobile_app,email,mobile,manchester
fc377a4c,a9488d99-0bbb-45,2025-08-04,2025-11-04,Accessory,m001,24.99,website,email,mobile,manchester
7412b293,ddd1dfb2-3b98-4e,2025-08-02,2025-09-01,Steam Deck,c912,499.99,mobile_app,affiliate,unknown,leeds
7412b293,ddd1dfb2-3b98-4e,2025-08-02,2025-10-02,Accessory,m001,24.99,website,direct,mobile,london
ab9099a4,29a3b2e9-5d65-44,2025-04-18,2025-04-21,MacBook Air,g770,1199.99,website,email,desktop,leeds
a28defe3,aefcfad8-efc8-48,2025-05-14,2025-05-15,Steam Deck,c912,499.99,mobile_app,social,mobile,birmingham
a28defe3,aefcfad8-efc8-48,2025-05-14,2025-05-16,PS5,a245,479.99,mobile_app,direct,,london
451b4cf3,3eabedcb-baa8-4d,2025-08-04,2025-12-04,Smartwatch,h301,249.99,mobile_app,direct,mobile,liverpool
5304317f,b02b61c4-a3d7-46,2025-04-24,2025-04-26,Xbox Series X,b104,449.99,mobile_app,search,mobile,london
ce177b4e,0e51f30d-c6a7-4e,2025-09-04,2025-10-04,Kindle Paperwhite,j877,129.99,mobile_app,direct,desktop,london
9132b63e,10f1bc81-448a-4a,2025-09-01,2025-10-01,Google Pixel 8,i920,699.99,website,affiliate,desktop,leeds
e27a984d,366eb16f-508e-4a,2025-11-01,2025-12-01,Xbox Series X,b104,449.99,website,social,,manchester
beb79919,24933b83-7577-40,2025-05-27,2025-05-31,PS5,a245,479.99,mobile_app,search,,manchester
956269f0,bf3c4c06-4343-48,2025-07-01,2025-10-01,Google Pixel 8,i920,699.99,website,affiliate,unknown,liverpool
7e570ddf,ff50bde4-3825-47,2025-01-23,2025-01-26,Google Pixel 8,i920,699.99,mobile_app,affiliate,mobile,london
28f49481,dc713d96-0c0f-41,2025-08-04,2025-09-03,MacBook Air,g770,1199.99,mobile_app,affiliate,unknown,
988c24c9,98ae4334-6c12-4c,2025-03-15,2025-03-20,AirPods,d633,159.99,website,search,desktop,birmingham
f143262f,405cacec-8774-49,2025-04-14,2025-04-17,Accessory,m001,24.99,website,direct,mobile,glasgow
f143262f,405cacec-8774-49,2025-04-14,2025-04-19,Xbox Series X,b104,449.99,website,search,mobile,glasgow
c0398710,1d53434b-b881-49,2025-01-13,2025-01-14,Smartwatch,h301,249.99,website,email,mobile,manchester
287d06ca,5715bd6f-a416-42,2025-04-04,2025-05-04,Steam Deck,c912,499.99,website,search,desktop,bristol
287d06ca,5715bd6f-a416-42,2025-04-04,2025-10-04,PS5,a245,479.99,mobile_app,affiliate,unknown,manchester
f8cda88b,b8db0672-f42d-47,2025-04-05,2025-06-05,Xbox Series X,b104,449.99,mobile_app,search,desktop,sheffield
a013ac6e,81f76d1c-2dbc-41,2025-02-04,2025-07-04,AirPods,d633,159.99,mobile_app,direct,unknown,glasgow
5fb8d16c,81f631d4-a392-41,2025-12-01,2025-12-31,Steam Deck,c912,499.99,mobile_app,social,unknown,manchester
eb2263dd,f4188f3f-8a14-4e,2025-04-26,2025-04-29,Accessory,m001,24.99,mobile_app,search,mobile,manchester
eb2263dd,f4188f3f-8a14-4e,2025-04-26,2025-04-28,PS5,a245,479.99,website,affiliate,mobile,london
5cec4eb5,7d154385-52fb-44,2025-03-27,2025-04-26,Nintendo Switch,e682,299.99,website,search,desktop,london
5cec4eb5,7d154385-52fb-44,2025-03-27,2025-03-28,Nintendo Switch,e682,299.99,website,direct,desktop,leeds
3da9c2a9,ce88cb2d-d4e8-48,2025-08-01,2025-11-01,Nintendo Switch,e682,299.99,website,search,desktop,glasgow
3da9c2a9,ce88cb2d-d4e8-48,2025-08-01,2025-08-31,AirPods,d633,159.99,mobile_app,direct,unknown,glasgow
