USER_ID,ORDER_ID,PURCHASE_TS,SHIP_TS,PRODUCT_NAME,PRODUCT_ID,GBP_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,ACCOUNT_CREATION_METHOD,CITY
bdd640fb,23b8c1e9392446de,07/01/2025,01-13-2025,PS5,a245,731.07,website,direct,unknown,Manchester
bd9c66b3,972a846916414f82,23/01/2025,01-28-2025,Google Pixel 8,i920,1089.49,website,affiliate,desktop,Leeds
17fc695a,9a1de644815e46d1,04/06/2025,05/06/2025,Google Pixel 8,i920,1429.44,mobile_app,direct,mobile,Leicester
b74d0fb1,6b65a6a48b8148f6,02/01/2025,09/01/2025,AirPods,d633,2026.2,mobile_app,email,mobile,BIRMINGHAM
47378190,c241330b01a9471f,28/03/2025,29/03/2025,Steam Deck,c912,286.3,website,email,mobile,Leicester
6c307511,371ecd7b27cd4130,12/01/2025,01-18-2025,AirPods,d633,1181,website,SOCIAL,desktop,Nottingham
1a2a73ed,5be6128e18c24797,10/06/2025,15/06/2025,AirPods,d633,2220.5,MOBILE_APP,search,DESKTOP,Manchester
43b7a3a6,759cde66bacf43d0,19/06/2025,21/06/2025,Nintendo Switch,e682,1946.29,website,direct,desktop,Glasgow
ec1b8ca1,4b0dbb418d5248f1,27/04/2025,03/05/2025,AirPods,d633,2095.23,website,email,mobile,Leeds
e2acf72f,3139d32c93cd49bf,29/06/2025,07/05/2025,AirPods,d633,1641.21,website,search,unknown,Leeds
a9488d99,fc377a4c4a15444d,29/04/2025,03/05/2025,Xbox Series X,b104,718.67,WEBSITE,email,desktop,LEEDS
ddd1dfb2,7412b29347294739,22/03/2025,26/03/2025,Nintendo Switch,e682,713.29,website,search,unknown,Bristol
29a3b2e9,ab9099a435a240ae,17/06/2025,21/06/2025,Steam Deck,c912,1025.34,mobile_app,direct,mobile,Birmingham
aefcfad8,a28defe39bf04273,24/05/2025,05-29-2025,Steam Deck,c912,701.09,mobile_app,search,mobile,Bristol
3eabedcb,451b4cf361234df7,05/02/2025,02/10/2025,Steam Deck,c912,1264.18,website,affiliate,desktop,Birmingham
b02b61c4,5304317faf42412f,02/06/2025,03/06/2025,MacBook Air,g770,998.83,mobile_app,search,MOBILE,Nottingham
0e51f30d,ce177b4e083748a3,24/06/2025,30/06/2025,Nintendo Switch,e682,339.51 GBP,mobile_app,EMAIL,DESKTOP,Liverpool
10f1bc81,9132b63ef16247e4,10/02/2025,14/02/2025,MacBook Air,g770,67.92,mobile_app,search,desktop,Nottingham
366eb16f,e27a984d654841d0,10/06/2025,13/06/2025,PS5,a245,2113.67,website,,MOBILE,Birmingham
24933b83,beb799193f224af8,16/05/2025,17/05/2025,Google Pixel 8,i920,1521.42,mobile_app,affiliate,desktop,Bristol
bf3c4c06,956269f0e5d74875,03/03/2025,03/04/2025,AirPods,d633,647.73,website,affiliate,unknown,Sheffield
ff50bde4,7e570ddf827040a8,17/05/2025,24/05/2025,PS5,a245,366.86,MOBILE_APP,search,DESKTOP,Liverpool
dc713d96,28f49481a0a04dc4,05/06/2025,09/06/2025,Google Pixel 8,i920,2413.05,website,email,mobile,BRISTOL
98ae4334,988c24c961b14d22,13/05/2025,17/05/2025,Smartwatch,h301,355.25,website,affiliate,MOBILE,London
405cacec,f143262fdc5c4eed,22/05/2025,24/05/2025,Kindle Paperwhite,j877,1495.79,website,affiliate,unknown,LONDON
